	log_likelihood
454	23.581797
455	22.936398
456	26.862787
457	29.32456
458	25.676395
459	28.64442
460	29.104351
461	27.628199
462	29.15235
463	23.59291
464	23.313662
465	26.681534
466	25.147402
467	24.626652
468	29.631628
469	28.148205
470	29.880096
471	27.345926
472	26.329828
473	26.052332
474	27.8839
475	27.433386
476	28.800058
477	25.631994
478	29.521973
479	27.499292
480	25.963573
481	24.649899
482	25.889944
483	28.142187
484	30.499308
485	29.266422
486	18.701466
487	12.024248
488	8.495065
489	18.087822
490	16.6053
491	24.30576
492	20.652458
493	10.60546
494	21.771679
495	26.86726
496	26.814442
497	25.56518
498	27.428425
499	20.146618
500	21.024456
501	20.102621
502	20.983454
503	21.023632
504	16.372723
505	10.819808
506	17.046148
507	11.507151
508	7.292671
509	14.781088
510	6.547805
511	17.116383
512	21.024967
513	20.51998
514	14.419889
515	20.711231
516	23.330603
517	22.712603
518	23.854702
519	8.345881
520	25.182611
521	24.992676
522	25.901104
523	17.99097
524	24.567705
525	21.420605
526	24.091694
527	23.494104
528	26.509817
529	26.791159
530	25.406815
531	26.803104
532	24.785147
533	26.07066
534	24.42517
535	25.811844
536	27.511816
537	20.577679
538	18.28648
539	23.538738
540	23.39437
541	25.34882
542	24.546556
543	18.177603
544	11.924649
545	20.058422
546	17.671413
547	18.926722
548	16.988953
549	21.571966
550	19.00307
551	24.848719
552	24.037357
553	25.465664
554	24.379347
555	23.292894
556	17.05884
557	20.041334
558	25.106607
559	26.815039
560	21.265812
561	20.910975
562	25.898758
563	20.43873
564	17.901697
565	21.602064
566	18.80849
567	23.962677
568	22.303343
569	19.231861
570	18.160961
571	12.086583
572	20.354084
573	17.116447
574	16.304142
575	23.201126
576	21.861021
577	21.933897
578	17.431446
579	20.13046
580	18.757877
581	23.75789
582	19.388826
583	25.24021
584	22.148762
585	18.831646
586	17.6042
587	14.783008
588	15.228923
589	15.557236
590	17.012037
591	24.0736
592	17.321787
