	log_likelihood
458	298.29614
459	272.08612
460	319.62576
461	322.14825
462	296.68524
463	297.8645
464	303.14322
465	314.24234
466	287.9608
467	199.9825
468	233.46892
469	281.84027
470	333.72714
471	314.69592
472	326.24335
473	295.18494
474	321.19574
475	268.05322
476	299.26617
477	342.79712
478	283.16022
479	325.7604
480	324.75446
481	309.97107
482	317.975
483	312.16104
484	271.75272
485	324.10965
486	307.47153
487	310.1358
488	314.78168
489	324.44214
490	308.76852
491	271.56372
492	310.2639
493	306.01645
494	264.8165
495	244.14693
496	281.08774
497	255.85674
498	294.9018
499	283.98932
500	184.48282
501	268.2839
502	321.143
503	314.55692
504	322.31696
505	321.4848
506	292.24646
507	219.698
508	313.92368
509	313.07123
510	290.58057
511	286.52448
512	325.95224
513	318.5479
514	317.246
515	263.3788
516	285.024
517	326.0416
518	288.8567
519	325.80664
520	252.12369
521	294.96667
522	306.71692
523	312.808
524	307.42255
525	300.73526
526	312.0589
527	278.21533
528	311.11743
529	306.65717
530	311.94437
531	302.43857
532	330.06805
533	281.82852
534	248.09818
535	233.47115
536	328.67755
537	209.75732
538	333.52664
539	315.4639
540	296.5479
541	314.1092
542	319.28287
543	206.81467
544	302.19467
545	216.08908
546	302.05908
547	187.68474
548	326.10126
549	330.43643
550	211.50345
551	295.85394
552	311.63934
553	273.3047
554	286.3451
555	285.2484
556	325.63412
557	311.0047
558	282.2293
559	240.32285
560	300.19434
561	224.57341
562	281.54013
563	316.90137
564	290.33344
565	326.13583
566	332.61002
567	334.28217
568	323.75583
569	173.52217
570	311.12094
571	330.28302
572	294.37726
573	281.90314
574	279.05542
575	316.6617
576	223.90913
577	295.7132
578	289.56262
579	274.30313
580	276.05865
581	263.94495
582	306.78815
583	328.3351
584	303.40283
585	292.30154
586	298.95264
587	288.13348
588	305.55023
589	293.8546
590	313.77374
591	322.20514
592	302.93668
593	288.043
594	311.8531
595	263.23236
596	321.05783
597	307.77545
598	305.2696
599	321.82367
600	268.55026
601	280.36505
602	323.34772
603	306.7061
604	294.48035
605	319.4644
606	256.39764
607	293.27884
608	283.6299
609	311.5628
610	344.07413
611	309.5833
612	299.6236
613	200.30898
614	311.01715
615	333.3166
616	260.77765
617	274.6104
618	313.93634
619	294.47827
620	301.30768
621	313.1028
622	272.99054
623	312.1799
624	279.6726
625	317.03262
626	309.5611
627	222.05801
628	327.4894
629	290.57648
630	311.54437
631	285.11768
632	316.38812
633	319.82477
634	305.0135
635	191.69345
636	280.5766
637	299.81073
638	323.42392
639	293.29794
640	244.67464
641	214.36226
642	315.9691
643	332.58472
644	237.28452
645	301.70856
646	320.50894
647	327.7403
648	217.44414
649	321.57883
650	270.0143
651	345.74493
652	232.2142
653	315.3744
654	209.229
655	335.81226
656	254.73288
657	303.72784
658	328.4449
659	307.32248
660	316.2194
661	323.03784
662	289.07904
663	154.17741
664	312.57153
665	310.91678
666	311.8935
667	324.95874
668	271.99667
669	215.81502
670	309.1426
671	258.9615
672	298.26035
673	326.14206
674	271.74063
675	302.12296
676	293.18588
677	326.7312
678	314.92944
679	320.8566
680	281.4129
681	329.50107
682	221.14096
683	310.72537
684	305.08084
685	159.29129
686	312.85703
687	297.4317
