	log_likelihood
455	21.939695
456	20.650314
457	22.796581
458	23.81459
459	21.749441
460	23.804096
461	23.310404
462	21.85969
463	21.705528
464	15.766034
465	19.731121
466	22.550022
467	16.33955
468	19.160885
469	22.202457
470	20.172579
471	21.72948
472	18.854227
473	22.209307
474	22.082281
475	23.073467
476	22.065802
477	24.255106
478	21.292734
479	21.130047
480	17.545147
481	14.779614
482	16.52867
483	19.57281
484	18.91167
485	21.532223
486	21.77052
487	18.01826
488	15.108849
489	11.916594
490	17.562162
491	12.279068
492	27.817898
493	24.996807
494	12.697894
495	23.06884
496	28.46882
497	29.389715
498	27.812634
499	28.171051
500	19.468756
501	21.687992
502	19.081905
503	20.489477
504	22.506815
